code	display_name	date	weight	sw1_code	sw1_name
002597.XSHE	金禾实业	2020-08-14	0.189	801030	化工I
002605.XSHE	姚记科技	2020-08-14	0.139	801140	轻工制造I
002609.XSHE	捷顺科技	2020-08-14	0.083	801750	计算机I
002610.XSHE	爱康科技	2020-08-14	0.181	801160	公用事业I
002611.XSHE	东方精工	2020-08-14	0.086	801890	机械设备I
002614.XSHE	奥佳华	2020-08-14	0.066	801110	家用电器I
002617.XSHE	露笑科技	2020-08-14	0.095	801730	电气设备I
002618.XSHE	丹邦科技	2020-08-14	0.069	801080	电子I
002619.XSHE	艾格拉斯	2020-08-14	0.051	801760	传媒I
002621.XSHE	美吉姆	2020-08-14	0.044	801760	传媒I
002626.XSHE	金达威	2020-08-14	0.273	801150	医药生物I
002631.XSHE	德尔未来	2020-08-14	0.039	801140	轻工制造I
002636.XSHE	金安国纪	2020-08-14	0.05	801080	电子I
002638.XSHE	*ST勤上	2020-08-14	0.021	801760	传媒I
002639.XSHE	雪人股份	2020-08-14	0.083	801890	机械设备I
002643.XSHE	万润股份	2020-08-14	0.182	801030	化工I
002646.XSHE	青青稞酒	2020-08-14	0.036	801120	食品饮料I
002647.XSHE	仁东控股	2020-08-14	0.219	801790	非银金融I
002649.XSHE	博彦科技	2020-08-14	0.093	801750	计算机I
002651.XSHE	利君股份	2020-08-14	0.035	801890	机械设备I
002657.XSHE	中科金财	2020-08-14	0.08	801750	计算机I
002662.XSHE	京威股份	2020-08-14	0.043	801880	汽车I
002663.XSHE	普邦股份	2020-08-14	0.055	801720	建筑装饰I
002664.XSHE	长鹰信质	2020-08-14	0.058	801740	国防军工I
002668.XSHE	奥马电器	2020-08-14	0.085	801110	家用电器I
002672.XSHE	东江环保	2020-08-14	0.088	801160	公用事业I
002675.XSHE	东诚药业	2020-08-14	0.262	801150	医药生物I
002677.XSHE	浙江美大	2020-08-14	0.067	801110	家用电器I
002683.XSHE	宏大爆破	2020-08-14	0.448	801030	化工I
002685.XSHE	华东重机	2020-08-14	0.054	801890	机械设备I
002695.XSHE	煌上煌	2020-08-14	0.103	801120	食品饮料I
002697.XSHE	红旗连锁	2020-08-14	0.155	801200	商业贸易I
002698.XSHE	博实股份	2020-08-14	0.136	801890	机械设备I
002705.XSHE	新宝股份	2020-08-14	0.301	801110	家用电器I
002706.XSHE	良信电器	2020-08-14	0.239	801730	电气设备I
002712.XSHE	思美传媒	2020-08-14	0.044	801760	传媒I
002717.XSHE	岭南股份	2020-08-14	0.089	801720	建筑装饰I
002726.XSHE	龙大肉食	2020-08-14	0.085	801120	食品饮料I
002727.XSHE	一心堂	2020-08-14	0.173	801150	医药生物I
002733.XSHE	雄韬股份	2020-08-14	0.091	801730	电气设备I
002737.XSHE	葵花药业	2020-08-14	0.069	801150	医药生物I
002741.XSHE	光华科技	2020-08-14	0.048	801030	化工I
002746.XSHE	仙坛股份	2020-08-14	0.064	801010	农林牧渔I
002747.XSHE	埃斯顿	2020-08-14	0.128	801890	机械设备I
002751.XSHE	易尚展示	2020-08-14	0.041	801140	轻工制造I
002755.XSHE	奥赛康	2020-08-14	0.073	801150	医药生物I
002756.XSHE	永兴材料	2020-08-14	0.051	801040	钢铁I
002759.XSHE	天际股份	2020-08-14	0.019	801110	家用电器I
002768.XSHE	国恩股份	2020-08-14	0.097	801030	化工I
002776.XSHE	柏堡龙	2020-08-14	0.055	801130	纺织服装I
002777.XSHE	久远银海	2020-08-14	0.098	801750	计算机I
002782.XSHE	可立克	2020-08-14	0.035	801080	电子I
002791.XSHE	坚朗五金	2020-08-14	0.357	801710	建筑材料I
002792.XSHE	通宇通讯	2020-08-14	0.063	801770	通信I
002796.XSHE	世嘉科技	2020-08-14	0.05	801890	机械设备I
002798.XSHE	帝欧家居	2020-08-14	0.142	801140	轻工制造I
002822.XSHE	中装建设	2020-08-14	0.089	801720	建筑装饰I
002832.XSHE	比音勒芬	2020-08-14	0.078	801130	纺织服装I
002833.XSHE	弘亚数控	2020-08-14	0.076	801890	机械设备I
002838.XSHE	道恩股份	2020-08-14	0.075	801030	化工I
002840.XSHE	华统股份	2020-08-14	0.054	801120	食品饮料I
002850.XSHE	科达利	2020-08-14	0.113	801080	电子I
002851.XSHE	麦格米特	2020-08-14	0.157	801730	电气设备I
002852.XSHE	道道全	2020-08-14	0.047	801010	农林牧渔I
002859.XSHE	洁美科技	2020-08-14	0.11	801080	电子I
002869.XSHE	金溢科技	2020-08-14	0.097	801080	电子I
002880.XSHE	卫光生物	2020-08-14	0.063	801150	医药生物I
002895.XSHE	川恒股份	2020-08-14	0.031	801030	化工I
